ID,comid,main,hydroseq,outlet_comid,gages
3121,1737140,4158,150002434,1737140,
3120,1737118,4158,150002436,1737118,
3120,1737106,4158,150002438,1737118,
3119,1737082,4158,150002440,1737082,
3119,1737050,4158,150002442,1737082,
3119,1737044,4158,150002444,1737082,
3117,1737032,4158,150002446,1737032,
3117,1737022,4158,150002448,1737032,
3117,1737018,4158,150002451,1737032,
3117,1737004,4158,150002454,1737032,
3117,1737000,4158,150002457,1737032,
3116,1736996,4158,150002461,1736996,
3116,1736986,4158,150002464,1736996,
3115,1736956,4158,150002467,1736956,
3115,1736934,4158,150002470,1736956,
3114,1736904,4158,150002473,1736904,
3113,1736894,4158,150002476,1736894,
3112,1736884,4158,150002479,1736884,
3112,1736876,4158,150002482,1736884,
3112,1736868,4158,150002485,1736884,
3111,1736862,4158,150002488,1736862,
3111,1736860,4158,150002491,1736862,
3110,1736840,4158,150002494,1736840,
3110,1736834,4158,150002497,1736840,
4078,1736830,5602,150002500,1736830,
4078,1736826,5602,150002503,1736830,
4078,1735770,5602,150002506,1736830,
4078,1736822,5602,150002509,1736830,
4078,1735764,5602,150002512,1736830,
4078,1736816,5602,150002515,1736830,
3110,1736828,4158,150002519,1736840,
4078,1736820,5602,150002520,1736830,
3110,1736818,4158,150002525,1736840,
3110,1736814,4158,150002530,1736840,
3110,1743002,4158,150002534,1736840,
3109,1736802,4158,150002538,1736802,
3108,1736788,4158,150002542,1736788,
3108,1737294,4158,150002546,1736788,
3108,1736786,4158,150002550,1736788,
3107,1743020,4158,150002565,1743020,
3107,1743022,4158,150002571,1743020,
3107,1737292,4158,150002576,1743020,
3295,1737250,4462,150002581,1737250,
3107,1736758,4158,150002582,1743020,
3295,1737262,4462,150002588,1737250,
3494,1736762,4714,150002589,1736762,
3295,1743026,4462,150002594,1737250,
3494,1736748,4714,150002595,1736762,
3295,1743028,4462,150002600,1737250,
3494,1736746,4714,150002601,1736762,
3294,1743030,4462,150002606,1743030,
3494,1736744,4714,150002608,1736762,
3494,1736742,4714,150002614,1736762,
5771,1736752,7946,150002619,1736752,
3494,1736738,4714,150002620,1736762,
3494,1736736,4714,150002625,1736762,
3494,1736712,4714,150002630,1736762,
3494,1743068,4714,150002635,1736762,
3494,1736692,4714,150002640,1736762,
5209,1736698,7175,150002645,1736698,
3107,1736756,4158,150002652,1743020,
3107,1736696,4158,150002658,1743020,
3106,1736690,4158,150002664,1736690,
3106,1736686,4158,150002670,1736690,
3105,1734244,4158,150002676,1734244,
3105,1734242,4158,150002683,1734244,
3104,1734232,4158,150002690,1734232,
4151,1734226,5705,150002696,1734226,
4240,1734224,5847,150002702,1734224,
3104,1734228,4158,150002708,1734232,
4240,1734214,5847,150002709,1734224,
3104,1734218,4158,150002715,1734232,
4240,1732786,5847,150002716,1734224,
4240,1734312,5847,150002723,1734224,
3806,1734212,5172,150002724,1734212,
4240,1734318,5847,150002730,1734224,
3104,1734210,4158,150002731,1734232,
3806,1732760,5172,150002732,1734212,
3103,1742990,4158,150002738,1742990,
3103,1734208,4158,150002745,1742990,
3103,1734198,4158,150002752,1742990,
3103,1734194,4158,150002758,1742990,
3102,1734180,4158,150002764,1734180,
3102,1734164,4158,150002770,1734180,
3102,1734158,4158,150002795,1734180,
3102,1734150,4158,150002802,1734180,
3102,1743122,4158,150002808,1734180,
3102,1734130,4158,150002834,1734180,
3102,1734124,4158,150002841,1734180,
3102,1734120,4158,150002847,1734180,
3102,1734110,4158,150002866,1734180,
3102,1734106,4158,150002873,1734180,
3101,1734084,4158,150002879,1734084,
3101,1734066,4158,150002885,1734084,
3101,1734046,4158,150002891,1734084,
3101,1734024,4158,150002898,1734084,
3100,1733994,4158,150002905,1733994,01034500
3100,1733964,4158,150002913,1733994,01034500
3100,1733962,4158,150002932,1733994,01034500
3100,1733954,4158,150002939,1733994,01034500
3100,1733950,4158,150002946,1733994,01034500
3099,1733922,4158,150002953,1733922,
3099,1733900,4158,150002959,1733922,
3099,1733892,4158,150002965,1733922,
3098,1733880,4158,150002986,1733880,
3098,1733868,4158,150002994,1733880,
3098,1733864,4158,150003002,1733880,
3098,1733860,4158,150003009,1733880,
3098,1733856,4158,150003017,1733880,
3097,1733848,4158,150003027,1733848,
3097,1733840,4158,150003038,1733848,
3097,1733836,4158,150003051,1733848,
3097,1733824,4158,150003063,1733848,
3097,1733808,4158,150003072,1733848,
3097,1733794,4158,150003081,1733848,
3097,1733786,4158,150003119,1733848,
3097,1733774,4158,150003131,1733848,
3819,1733770,5181,150003142,1733770,
3097,1733768,4158,150003143,1733848,
4241,1734314,5848,150003153,1734314,
3096,1733760,4158,150003154,1733760,
4241,1733744,5848,150003165,1734314,
4241,1732086,5848,150003176,1734314,
4241,1734316,5848,150003187,1734314,
3096,1733754,4158,150003188,1733760,
4241,1734308,5848,150003200,1734314,
3096,1733750,4158,150003201,1733760,
3096,1742978,4158,150003212,1733760,
3096,1733738,4158,150003225,1733760,
3095,1733714,4158,150003267,1733714,
3095,1733700,4158,150003279,1733714,
3095,1733698,4158,150003291,1733714,
3094,1733694,4158,150003301,1733694,
3094,1733692,4158,150003312,1733694,
3093,1733682,4158,150003323,1733682,
3093,1733680,4158,150003359,1733682,
3093,1733674,4158,150003371,1733682,
3092,1733670,4158,150003381,1733670,
3092,1733666,4158,150003391,1733670,
3092,1733664,4158,150003401,1733670,
3092,1731422,4158,150003412,1733670,
3154,1743130,4231,150003422,1743130,
3153,1731420,4231,150003443,1731420,01030500
3153,6089,4231,150003454,1731420,01030500
3153,6087,4231,150003464,1731420,01030500
3153,3923,4231,150003474,1731420,01030500
3153,3919,4231,150003485,1731420,01030500
3153,3917,4231,150003495,1731420,01030500
3153,931020007,4231,150003496,1731420,01030500
3153,931020006,4231,150003507,1731420,01030500
3153,3909,4231,150003529,1731420,01030500
3153,3201,4231,150003541,1731420,01030500
3153,3199,4231,150003553,1731420,01030500
3153,3907,4231,150003565,1731420,01030500
3152,3905,4231,150003577,3905,
3152,3191,4231,150003589,3905,
3152,3903,4231,150003601,3905,
3152,3901,4231,150003614,3905,
3091,1731418,4158,150003625,1731418,
3152,3185,4231,150003627,3905,
3090,1731414,4158,150003639,1731414,
3152,3897,4231,150003641,3905,
3152,3895,4231,150003659,3905,
3089,1731402,4158,150003672,1731402,
3152,3891,4231,150003674,3905,
3089,1731394,4158,150003687,1731402,
3152,3889,4231,150003689,3905,
3089,1731396,4158,150003700,1731402,
3151,3875,4231,150003702,3875,
3089,1731398,4158,150003713,1731402,
3151,3879,4231,150003715,3875,
3087,1731400,4158,150003726,1731400,
3151,3881,4231,150003728,3875,
3086,1700608,4158,150003740,1700608,
3151,3883,4231,150003742,3875,
3086,1700610,4158,150003755,1700608,
3151,3175,4231,150003757,3875,
3085,1700598,4158,150003771,1700598,
3150,3871,4231,150003774,3871,
3085,1700582,4158,150003785,1700598,
3150,3173,4231,150003788,3871,
3085,1700580,4158,150003799,1700598,
3150,3869,4231,150003802,3871,
3085,1700578,4158,150003814,1700598,
3150,3171,4231,150003817,3871,
3084,1700594,4158,150003830,1700594,
3150,3867,4231,150003833,3871,
3083,1700600,4158,150003845,1700600,
3150,3169,4231,150003848,3871,
3285,1700616,4451,150003860,1700616,
3150,3865,4231,150003863,3871,
3083,1700630,4158,150003875,1700600,
3285,1700150,4451,150003876,1700616,
3150,3863,4231,150003879,3871,
3083,1705926,4158,150003891,1700600,
3284,1700586,4451,150003892,1700586,
3150,3851,4231,150003895,3871,
3082,1705928,4158,150003908,1705928,
3284,1700130,4451,150003909,1700586,
3082,1700182,4158,150003924,1705928,
4364,1700114,6008,150003925,1700114,
3082,1705924,4158,150003940,1705928,
4364,1700116,6008,150003941,1700114,
3081,1705922,4158,150003956,1705922,
4364,1700120,6008,150003957,1700114,
3081,1700360,4158,150003972,1705922,
5630,1700148,7751,150003973,1700148,
3080,1700626,4158,150003989,1700626,
5630,1700624,7751,150003990,1700148,
3207,1720001,4282,150004007,1720001,
3181,1715122,4277,150004008,1715122,
3080,1700628,4158,150004009,1700626,
3207,1726313,4282,150004029,1720001,
3181,1713474,4277,150004030,1715122,
3080,1700642,4158,150004031,1700626,
3206,1719977,4282,150004048,1719977,
3181,1713470,4277,150004049,1715122,
3080,1700800,4158,150004050,1700626,
3206,1719979,4282,150004069,1719977,
3181,1713468,4277,150004070,1715122,
3080,1700652,4158,150004071,1700626,
3180,1713462,4277,150004091,1713462,
3079,1700664,4158,150004092,1700664,
3179,1713456,4277,150004116,1713456,01029500
3078,1700662,4158,150004117,1700662,
3077,1700622,4158,150004141,1700622,
3177,1713448,4277,150004164,1713448,
3077,1700614,4158,150004165,1700622,
3177,1713442,4277,150004185,1713448,
3076,1700604,4158,150004186,1700604,
3177,1713424,4277,150004209,1713448,
3075,1700566,4158,150004210,1700566,
3074,1700548,4158,150004235,1700548,
3074,1700546,4158,150004259,1700548,
3073,1700536,4158,150004284,1700536,
3072,1700794,4158,150004309,1700794,
3072,1700528,4158,150004336,1700794,
3072,1700520,4158,150004365,1700794,
3072,1700516,4158,150004393,1700794,
3072,1700504,4158,150004421,1700794,
3072,1700500,4158,150004446,1700794,
3072,1700498,4158,150004473,1700794,
3071,1700470,4158,150004501,1700470,
3071,1700458,4158,150004530,1700470,
3071,1700454,4158,150004562,1700470,
3071,1700426,4158,150004597,1700470,
3070,1700412,4158,150004633,1700412,
3070,1700416,4158,150004667,1700412,
3070,1700414,4158,150004703,1700412,
3070,1702482,4158,150004741,1700412,
3069,1702488,4158,150004776,1702488,
3068,1702486,4158,150004810,1702486,
3067,1702458,4158,150004844,1702458,
3067,1702456,4158,150004885,1702458,
3067,1702452,4158,150004925,1702458,
3067,1702472,4158,150004968,1702458,
3067,1702474,4158,150005013,1702458,
3067,1701756,4158,150005061,1702458,
3065,1702480,4158,150005111,1702480,
3065,1702468,4158,150005163,1702480,
3065,1702490,4158,150005216,1702480,
3064,1702494,4158,150005264,1702494,
3063,1702438,4158,150005312,1702438,
3062,1702414,4158,150005367,1702414,
3061,1702380,4158,150005419,1702380,
3061,1702352,4158,150005471,1702380,
3060,1698894,4158,150005523,1698894,
3059,1698874,4158,150005579,1698874,
3058,1698860,4158,150005632,1698860,
3058,1698864,4158,150005684,1698860,
3058,1698866,4158,150005741,1698860,
3275,1734072,4446,150005793,1734072,
3058,1698880,4158,150005799,1698860,
3275,1743114,4446,150005854,1734072,
3057,1698886,4158,150005860,1698886,
3275,1734060,4446,150005919,1734072,
3056,1698914,4158,150005925,1698914,
3275,1734052,4446,150005986,1734072,
3055,1698916,4158,150005992,1698916,
3274,1734064,4446,150006057,1734064,
3055,1702396,4158,150006063,1698916,
3054,1702430,4158,150006134,1702430,
3053,1702440,4158,150006207,1702440,
3274,1734070,4446,150006275,1734064,
3053,1702514,4158,150006282,1702440,
3284,1700112,4451,150006283,1700586,
3309,3873,4467,150006290,3873,
3274,1734082,4446,150006352,1734064,
3052,1705894,4158,150006359,1705894,
3284,1700108,4451,150006360,1700586,
3309,3523,4467,150006368,3873,
3052,1702524,4158,150006436,1705894,
3284,1700088,4451,150006437,1700586,
3456,1743088,4686,150006508,1743088,
3052,1702556,4158,150006516,1705894,
3284,1700562,4451,150006517,1700586,
3456,1743086,4686,150006590,1743088,
3051,1702600,4158,150006599,1702600,
3284,1700084,4451,150006600,1700586,
3456,1736936,4686,150006677,1743088,
3050,1702636,4158,150006684,1702636,
3284,1700558,4451,150006685,1700586,
3456,1736644,4686,150006769,1743088,
3049,1702596,4158,150006777,1702596,
3284,1700082,4451,150006778,1700586,
3456,1735938,4686,150006863,1743088,
3048,1702606,4158,150006872,1702606,
3284,1700554,4451,150006873,1700586,
3455,1736626,4686,150006957,1736626,
3047,1702632,4158,150006967,1702632,
3284,1700552,4451,150006968,1700586,
3340,1737120,4529,150007051,1737120,
3455,1736628,4686,150007052,1736626,
3047,1702652,4158,150007062,1702632,
3284,1700076,4451,150007063,1700586,
3339,1743102,4529,150007153,1743102,
3455,1736944,4686,150007154,1736626,
3047,1703058,4158,150007164,1702632,
3284,1700542,4451,150007165,1700586,
3339,1737122,4529,150007260,1743102,
3455,1736946,4686,150007261,1736626,
3047,1703060,4158,150007272,1702632,
3365,1743080,4560,150007373,1743080,
3455,1736634,4686,150007375,1736626,
3338,1736162,4529,150007376,1736162,
3046,1702670,4158,150007388,1702670,
3338,1737060,4529,150007495,1736162,
3455,1736924,4686,150007496,1736626,
3365,1736886,4560,150007497,1743080,
3045,1702660,4158,150007511,1702660,
3338,1736128,4529,150007620,1736162,
3365,1735880,4560,150007621,1743080,
3044,1702690,4158,150007631,1702690,
3338,1736134,4529,150007749,1736162,
3364,1735790,4560,150007750,1735790,01037000
3044,1702694,4158,150007760,1702690,
3338,1736132,4529,150007883,1736162,
3364,1735782,4560,150007886,1735790,01037000
3043,1702738,4158,150007895,1702738,
3364,1736856,4560,150008021,1735790,01037000
3338,1736122,4529,150008022,1736162,
3042,1702784,4158,150008034,1702784,
3338,1736136,4529,150008170,1736162,
3364,1735772,4560,150008172,1735790,01037000
3417,1731390,4607,150008174,1731390,
3428,1726311,4608,150008175,1726311,
3041,1702814,4158,150008184,1702814,
3338,1736148,4529,150008320,1736162,
3363,1735746,4560,150008322,1735746,
3416,1731442,4607,150008325,1731442,
3428,1719961,4608,150008331,1726311,
3040,1702806,4158,150008335,1702806,
3338,1736670,4529,150008474,1736162,
4267,1736596,5883,150008475,1736596,
3363,1735744,4560,150008476,1735746,
3416,1731302,4607,150008479,1731442,
3428,1719331,4608,150008486,1726311,
3040,1702776,4158,150008491,1702806,
4267,1737274,5883,150008651,1736596,
3337,1736174,4529,150008653,1736174,
3441,1702808,4657,150008669,1702808,
3040,1702770,4158,150008670,1702806,
3337,1736176,4529,150008828,1736174,
3362,1735754,4560,150008829,1735754,
3441,1702810,4657,150008842,1702808,
3040,1702772,4158,150008843,1702806,
3337,1737126,4529,150009012,1736174,
3361,1735732,4560,150009014,1735732,
3040,1705898,4158,150009028,1702806,
3441,1702856,4657,150009029,1702808,
3337,1736196,4529,150009205,1736174,
3361,1735724,4560,150009206,1735732,
3440,1702874,4657,150009218,1702874,
3039,1702778,4158,150009219,1702778,01027200
